My Category,OpenImages Category
Person,/m/0dzct
Place Identifier,/m/021sj1|/m/01mqdt
Identity,None|/m/01_v7j|/m/02py351
Home interior,/m/03ssj5|/m/019dx1|/m/01mzpv
Vehicle Plate,/m/01jfm_
Bystander,None
Food,/m/02wbm|/m/02xwb
Paper&Document&Label,None
Screen,/m/02522|/m/0bh9flk|/m/01c648|/m/07c52
Clothing,/m/09j2d
Scenery,/m/079cl
Pet,/m/01yrx|/m/0bt9lr
Book,/m/0bt_c3
Photo,/m/06z37_
Machine,/m/0llzx|/m/0llzx|/m/07k1x
Table,/m/0h8n5zk|/m/04bcr3
Electronic Devices,/m/0qjjc|/m/0hg7b
Cosmetics,/m/014trl
Toy,/m/0138tl
Finger,/m/01mzpv
Cigarettes,None
Accident,None
Musical instrument,/m/04szw
Nudity,None
Accessory,/m/01r546|/m/01llwg|/m/0jyfg
